material_id,full_formula,icsd_ids,band_gap,spacegroup,pretty_formula
mp-1000,Ba1Te1,"[616165, 616163, 29152, 43656]",1.8555,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",BaTe
mp-1002124,Hf1C1,[185992],0.5773999999999999,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}",HfC
mp-1002164,Ge1C1,[182363],1.8485999999999996,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}",GeC
mp-10064,Si1O2,[44271],1.9997000000000007,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",SiO2
mp-1006878,Ba1O2,[180398],2.3433,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmmm', 'number': 65, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2 2'}",BaO2
mp-10074,Ge2Se4,"[50761, 637859, 90957]",1.6631,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I-42d', 'number': 122, 'point_group': '-42m', 'crystal_system': 'tetragonal', 'hall': 'I -4 2bw'}",GeSe2
mp-1008223,Ca1Se1,[167834],3.1573,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}",CaSe
mp-1008395,C4,"[182761, 190716]",2.6076,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}",C
mp-1008500,Ba2O2,[173921],2.4251000000000005,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}",BaO
mp-1008677,Ti1O2,[189325],1.1182,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",TiO2
mp-1008680,Ti1Ge1Pt1,"[188964, 188965]",0.9375999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}",TiGePt
mp-1008776,Sr1C2,[236873],1.8008000000000002,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}",SrC2
mp-1008785,Ru1O2,"[236965, 290498, 236964]",0.7032999999999996,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",RuO2
mp-1008786,Mg1Te1,[168346],0.6288999999999998,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",MgTe
mp-1009127,Mg1O1,[248386],2.9211,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}",MgO
mp-1009129,Mg1O1,[166273],3.023000000000001,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-6m2', 'number': 187, 'point_group': '-6m2', 'crystal_system': 'hexagonal', 'hall': 'P -6 2'}",MgO
mp-1009653,Ca1C2,[236872],2.0148,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}",CaC2
mp-1009730,Ca2Sn1,[191748],0.7772000000000001,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",Ca2Sn
mp-1009733,Ca2Si1,"[191746, 187352]",0.6809999999999999,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",Ca2Si
mp-1009755,Ca2Ge1,[191747],0.6966999999999999,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",Ca2Ge
mp-1009756,Ca2Pb1,[191749],0.7694999999999999,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",Ca2Pb
mp-1009792,Ru1C1,"[181771, 188286, 183170]",0.7149000000000001,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}",RuC
mp-1009813,Si1Sn1,[184676],0.4113999999999995,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}",SiSn
mp-1009819,Sr1O1,"[248394, 187679, 181275]",2.7855000000000003,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}",SrO
mp-1009820,Sn1C1,[182365],0.6336999999999993,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'F-43m', 'number': 216, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'F -4 2 3'}",SnC
